Fiscal_Year_Quarter,Financial_Year,Quarter,Merchandise_Imports_Total_USD_Mn,POL_Imports_USD_Mn,Non_POL_Imports_USD_Mn,Merchandise_Trade_Balance_USD_Mn,Current_Account_Balance_USD_Mn,CAD_as_Pct_of_GDP,USD_INR_Quarterly_Avg,GBP_INR_Quarterly_Avg,EUR_INR_Quarterly_Avg,WPI_Headline_Quarterly_Avg,WPI_Fuel_and_Power_Quarterly_Avg,WPI_Mineral_Oils_Quarterly_Avg,CPI_Combined_Quarterly_Avg,CPI_Fuel_and_Light_Quarterly_Avg,Quarterly_Trading_Days
2021-22 Q3,2021-22,Q3,166800.0,46100.0,120700.0,-59700.0,-23000.0,-2.7,74.9281,101.00356666666666,85.67863333333332,142.56666666666666,128.9333333333333,129.03333333333333,166.13333333333333,175.83333333333334,61
2021-22 Q4,2021-22,Q4,163000.0,51600.0,111400.0,-54500.0,-13400.0,-1.5,75.22973333333333,100.9545,84.40156666666667,146.0,138.6,145.66666666666666,166.5,178.63333333333335,60
2022-23 Q1,2022-23,Q1,187900.0,60600.0,127300.0,-63100.0,-23900.0,-2.8,77.18723333333334,97.00553333333335,82.2199,153.46666666666667,154.06666666666666,172.33333333333334,171.46666666666667,187.96666666666667,60
2022-23 Q2,2022-23,Q2,191800.0,53000.0,138800.0,-78300.0,-30900.0,-3.7,79.79606666666668,93.92006666666667,80.36973333333333,153.03333333333333,150.33333333333334,166.03333333333333,174.33333333333334,194.0,62
2022-23 Q3,2022-23,Q3,174300.0,49700.0,124600.0,-71300.0,-18200.0,-2.2,82.20493333333333,96.43216666666666,83.87886666666667,151.83333333333334,150.03333333333333,165.53333333333333,176.29999999999998,197.79999999999998,61
2022-23 Q4,2022-23,Q4,165100.0,49700.0,115400.0,-52600.0,-1300.0,-0.2,82.26556666666667,99.92843333333333,88.26183333333334,150.86666666666667,150.13333333333333,165.70000000000002,176.83333333333334,201.03333333333333,61
2023-24 Q1,2023-24,Q1,161600.0,43800.0,117800.0,-56600.0,-9200.0,-1.1,82.19926666666667,102.83696666666667,89.47196666666666,149.83333333333334,146.70000000000002,159.86666666666667,179.33333333333334,202.1,59
2023-24 Q2,2023-24,Q2,166600.0,44900.0,121700.0,-61000.0,-8300.0,-1.0,82.6616,104.69853333333333,89.98413333333333,152.13333333333333,149.96666666666667,165.43333333333334,185.13333333333333,200.4,62
2023-24 Q3,2023-24,Q3,175900.0,45300.0,130600.0,-71600.0,-10500.0,-1.2,83.27066666666667,103.33813333333335,89.55693333333333,152.26666666666668,152.66666666666666,170.0666666666667,185.36666666666665,193.53333333333333,60
2023-24 Q4,2023-24,Q4,173100.0,47300.0,125800.0,-50900.0,5700.0,0.6,83.0274,105.31346666666667,90.19566666666667,151.4,153.66666666666666,171.79999999999998,185.63333333333333,193.0666666666667,59
2024-25 Q1,2024-25,Q1,172500.0,49600.0,122900.0,-61700.0,-9700.0,-1.1,83.42326666666666,105.2792,89.81103333333334,154.0,153.23333333333335,171.03333333333333,188.1,189.9,57
2024-25 Q2,2024-25,Q2,178600.0,47200.0,131400.0,-75900.0,-11200.0,-1.2,83.76639999999999,108.89406666666666,92.0242,154.66666666666666,151.73333333333332,168.5,192.83333333333334,191.0,63
2024-25 Q3,2024-25,Q3,180900.0,46800.0,134100.0,-73200.0,-10800.0,-1.1,84.46003333333333,108.2343,90.07863333333334,155.13333333333333,150.13333333333333,165.70000000000002,195.03333333333333,192.26666666666665,61
2024-25 Q4,2024-25,Q4,178600.0,48100.0,130500.0,-55400.0,3800.0,0.4,86.65273333333333,109.1094,91.12793333333333,156.0,153.16666666666666,170.9333333333333,194.9,193.4,60
2025-26 Q1,2025-26,Q1,180300.0,47500.0,132800.0,-63400.0,-8900.0,-0.9,85.55143333333335,114.34663333333333,97.0998,157.43333333333334,154.56666666666666,173.33333333333334,196.4333333333333,194.6,59
2025-26 Q2,2025-26,Q2,186700.0,48200.0,138500.0,-78100.0,-10400.0,-1.0,87.31853333333333,117.73233333333333,102.0271,158.4,155.4,174.73333333333335,198.4333333333333,195.96666666666667,63
2025-26 Q3,2025-26,Q3,191100.0,49100.0,142000.0,-76800.0,-11600.0,-1.1,89.11110000000001,118.44706666666667,103.71,159.0666666666667,155.9333333333333,175.63333333333333,199.63333333333333,197.26666666666665,61
2025-26 Q4,2025-26,Q4,186600.0,48700.0,137900.0,-58900.0,4200.0,0.4,91.43023333333333,123.29946666666666,107.07106666666668,159.79999999999998,156.83333333333334,177.16666666666666,200.53333333333333,198.4333333333333,57
